age_band,age_band_min,age_band_max,band_midpoint,percentile,value_nominal,data_year,source,with_pension
16-24,16,24,20,p25,4104,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
16-24,16,24,20,p50,15200,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
16-24,16,24,20,p75,44977,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
25-34,25,34,30,p25,34587,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
25-34,25,34,30,p50,109800,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
25-34,25,34,30,p75,266594,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
35-44,35,44,40,p25,66862,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
35-44,35,44,40,p50,209600,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
35-44,35,44,40,p75,453574,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
45-54,45,54,50,p25,109892,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
45-54,45,54,50,p50,301900,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
45-54,45,54,50,p75,625839,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
55-64,55,64,60,p25,179733,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
55-64,55,64,60,p50,496500,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
55-64,55,64,60,p75,978105,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
65-74,65,74,70,p25,194468,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
65-74,65,74,70,p50,502500,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
65-74,65,74,70,p75,978870,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
75+,75,89,80,p25,155583,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
75+,75,89,80,p50,373100,2021,"ONS Wealth in Great Britain Wave 8 (April 2020-March 2022), Figure 2 median; P25/P75 derived by IQR-ratio scaling",True
